ID,NOME,IDADE,NOTA_GERAL,TP_SEXO,DATA_INSCRICAO,LINGUA,RENDA_BRUTA,SITUACAO
44,Estudante 44,53,545.0,M,14/05/23,ESP,1636.0,OK
45,Estudante 45,40,385.0,M,13/05/23,Espanhol,R$ 6767,OK
46,Estudante 46,24,338.0,M,2023-05-20,ING,"7075,00",OK
47,Estudante 47,15,760.0,M,23/05/23,Ingles,5409.0,OK
48,Estudante 48,17,434.0,M,16/05/23,ingles,7969.0,OK
49,Estudante 49,23,489.0,M,2023-05-25,Inglês,R$ 3457,OK
50,Estudante 50,46,436.0,M,11/05/23,Espanhol,"3419,00",OK
51,Estudante 51,19,797.0,F,26/05/23,ingles,1153.0,OK
52,Estudante 52,50,364.0,F,2023-05-23,ESP,1723.0,OK
53,Estudante 53,29,654.0,F,18/05/23,ESP,R$ 5290,OK
54,Estudante 54,28,584.0,F,16/05/23,Ingles,"5306,00",OK
55,Estudante 55,26,707.0,F,2023-05-18,Espanhol,3443.0,OK
56,Estudante 56,19,349.0,M,20/05/23,ESP,6242.0,OK
57,Estudante 57,52,435.0,F,17/05/23,ingles,R$ 5025,OK
58,Estudante 58,21,391.0,M,2023-05-22,Espanhol,"3960,00",OK
59,Estudante 59,34,769.0,F,11/05/23,Ingles,4764.0,OK
60,Estudante 60,27,890.0,M,18/05/23,ESP,2227.0,OK
61,Estudante 61,48,742.0,M,2023-05-22,Inglês,R$ 7973,OK
62,Estudante 62,24,833.0,M,19/05/23,ingles,"4819,00",OK
63,Estudante 63,35,912.0,F,14/05/23,Ingles,5056.0,OK
64,Estudante 64,41,408.0,M,2023-05-16,espanhol,1841.0,OK
65,Estudante 65,57,464.0,M,11/05/23,ING,R$ 4119,OK
66,Estudante 66,54,,F,17/05/23,ING,"5039,00",OK
67,Estudante 67,31,838.0,F,2023-05-10,ingles,1615.0,OK
68,Estudante 68,16,658.0,M,19/05/23,Espanhol,3227.0,OK
69,Estudante 69,36,662.0,F,20/05/23,Inglês,R$ 2661,OK
70,Estudante 70,15,788.0,M,2023-05-13,Inglês,"4067,00",OK
71,Estudante 71,43,431.0,M,19/05/23,Inglês,2367.0,OK
72,Estudante 72,20,892.0,M,19/05/23,ING,3095.0,OK
73,Estudante 73,55,478.0,M,2023-05-24,ING,R$ 5457,OK
74,Estudante 74,29,941.0,F,11/05/23,espanhol,"6138,00",OK
75,Estudante 75,25,568.0,M,27/05/23,ESP,7404.0,OK
76,Estudante 76,44,689.0,F,2023-05-10,ingles,4359.0,OK
77,Estudante 77,57,498.0,M,25/05/23,ESP,R$ 1153,OK
78,Estudante 78,15,817.0,M,27/05/23,espanhol,"1975,00",OK
79,Estudante 79,22,528.0,M,2023-05-13,ingles,2384.0,OK
80,Estudante 80,38,326.0,F,24/05/23,ING,7711.0,OK
81,Estudante 81,250,813.0,M,17/05/23,ingles,R$ 7198,OK
82,Estudante 82,33,484.0,M,2023-05-27,Inglês,"1074,00",OK
83,Estudante 83,24,529.0,M,15/05/23,ING,2215.0,OK
84,Estudante 84,52,735.0,M,24/05/23,ESP,2151.0,OK
85,Estudante 85,19,563.0,M,2023-05-23,ingles,R$ 4808,OK
86,Estudante 86,46,879.0,M,19/05/23,ING,"2254,00",OK
87,Estudante 87,55,642.0,F,27/05/23,espanhol,2390.0,OK
88,Estudante 88,44,425.0,F,2023-05-21,ESP,4921.0,OK
89,Estudante 89,37,648.0,M,24/05/23,ING,R$ 4797,OK
90,Estudante 90,26,843.0,M,27/05/23,ESP,"1281,00",OK
91,Estudante 91,18,499.0,F,2023-05-26,ESP,5995.0,OK
92,Estudante 92,26,930.0,M,20/05/23,Espanhol,4447.0,OK
93,Estudante 93,19,438.0,M,14/05/23,Ingles,R$ 6821,OK
94,Estudante 94,31,498.0,M,2023-05-19,Inglês,"2627,00",OK
95,Estudante 95,39,902.0,M,24/05/23,Ingles,4329.0,OK
96,Estudante 96,53,,M,15/05/23,ESP,6373.0,OK
97,Estudante 97,31,663.0,F,2023-05-16,ESP,R$ 6459,OK
98,Estudante 98,20,529.0,M,17/05/23,ingles,"5345,00",OK
99,Estudante 99,42,617.0,M,23/05/23,Espanhol,7392.0,OK
100,Estudante 100,57,358.0,M,2023-05-13,Inglês,1726.0,OK
101,Estudante 101,21,515.0,F,14/05/23,ING,R$ 7176,OK
102,Estudante 102,55,381.0,F,26/05/23,Inglês,"5080,00",OK
103,Estudante 103,22,593.0,F,2023-05-22,ESP,7320.0,OK
104,Estudante 104,39,837.0,M,22/05/23,Espanhol,7016.0,OK
105,Estudante 105,43,559.0,F,25/05/23,Inglês,R$ 6694,OK
106,Estudante 106,51,778.0,M,2023-05-15,Ingles,"1182,00",OK
107,Estudante 107,35,769.0,M,21/05/23,Espanhol,2573.0,OK
108,Estudante 108,54,644.0,F,17/05/23,Ingles,5562.0,OK
109,Estudante 109,15,335.0,M,2023-05-26,Ingles,R$ 5173,OK
110,Estudante 110,30,313.0,M,26/05/23,ingles,"7960,00",OK
111,Estudante 111,57,305.0,F,17/05/23,ING,6027.0,OK
112,Estudante 112,36,430.0,M,2023-05-18,ESP,1538.0,OK
113,Estudante 113,37,490.0,F,18/05/23,Inglês,R$ 4509,OK
114,Estudante 114,54,918.0,M,25/05/23,ingles,"1371,00",OK
115,Estudante 115,55,590.0,M,2023-05-13,ESP,7534.0,OK
116,Estudante 116,51,833.0,M,13/05/23,ingles,3688.0,OK
117,Estudante 117,18,877.0,F,17/05/23,ingles,R$ 1598,OK
118,Estudante 118,27,375.0,M,2023-05-20,Ingles,"2387,00",OK
119,Estudante 119,27,577.0,F,13/05/23,Inglês,4747.0,OK
120,Estudante 120,46,582.0,F,21/05/23,ingles,5160.0,OK
121,Estudante 121,-5,398.0,M,2023-05-23,espanhol,R$ 4476,OK
122,Estudante 122,45,694.0,F,26/05/23,Espanhol,"1231,00",OK
123,Estudante 123,28,506.0,M,19/05/23,Inglês,2858.0,OK
124,Estudante 124,58,788.0,M,2023-05-11,Espanhol,7119.0,OK
125,Estudante 125,32,352.0,M,10/05/23,ING,R$ 3313,OK
126,Estudante 126,47,,M,25/05/23,Inglês,"3784,00",OK
127,Estudante 127,24,752.0,F,2023-05-21,Inglês,4234.0,OK
128,Estudante 128,34,598.0,M,21/05/23,ingles,7720.0,OK
129,Estudante 129,37,818.0,F,27/05/23,Ingles,R$ 6669,OK
130,Estudante 130,34,646.0,F,2023-05-17,Ingles,"3640,00",OK
131,Estudante 131,26,870.0,M,14/05/23,Inglês,7811.0,OK
132,Estudante 132,39,374.0,M,10/05/23,Espanhol,4009.0,OK
133,Estudante 133,21,840.0,F,2023-05-22,ING,R$ 2080,OK
134,Estudante 134,46,880.0,F,23/05/23,espanhol,"1885,00",OK
135,Estudante 135,48,542.0,M,18/05/23,ING,1371.0,OK
136,Estudante 136,26,484.0,F,2023-05-24,Espanhol,3189.0,OK
137,Estudante 137,59,332.0,M,21/05/23,Inglês,R$ 5143,OK
138,Estudante 138,48,768.0,M,16/05/23,Inglês,"5189,00",OK
139,Estudante 139,24,907.0,M,2023-05-22,ING,6832.0,OK
140,Estudante 140,32,721.0,F,22/05/23,Inglês,4871.0,OK
141,Estudante 141,34,344.0,F,17/05/23,Ingles,R$ 6893,OK
142,Estudante 142,50,506.0,M,2023-05-15,Espanhol,"1668,00",OK
143,Estudante 143,16,694.0,M,23/05/23,Espanhol,7601.0,OK
144,Estudante 144,18,539.0,F,10/05/23,ingles,1126.0,OK
145,Estudante 145,35,446.0,F,2023-05-25,Inglês,R$ 2064,OK
146,Estudante 146,20,607.0,M,27/05/23,Espanhol,"6872,00",OK
147,Estudante 147,33,318.0,M,12/05/23,ESP,3413.0,OK
148,Estudante 148,42,824.0,M,2023-05-20,espanhol,2361.0,OK
149,Estudante 149,40,430.0,F,10/05/23,ING,R$ 2859,OK
150,Estudante 150,42,622.0,F,11/05/23,Inglês,"4752,00",OK
151,Estudante 151,25,448.0,M,2023-05-18,Espanhol,6719.0,OK
152,Estudante 152,53,735.0,M,25/05/23,ingles,4921.0,OK
153,Estudante 153,58,949.0,M,14/05/23,Inglês,R$ 1200,OK
154,Estudante 154,23,790.0,F,2023-05-12,Ingles,"2550,00",OK
155,Estudante 155,57,441.0,M,13/05/23,Ingles,4331.0,OK
156,Estudante 156,53,,M,16/05/23,ingles,3379.0,OK
157,Estudante 157,36,508.0,M,2023-05-19,ING,R$ 5154,OK
158,Estudante 158,27,440.0,F,12/05/23,Ingles,"2253,00",OK
159,Estudante 159,47,593.0,F,17/05/23,ESP,3605.0,OK
160,Estudante 160,39,322.0,M,2023-05-19,Inglês,5780.0,OK
161,Estudante 161,250,594.0,F,21/05/23,espanhol,R$ 7321,OK
162,Estudante 162,42,368.0,M,26/05/23,ingles,"1562,00",OK
163,Estudante 163,24,622.0,F,2023-05-10,ingles,1712.0,OK
164,Estudante 164,18,586.0,M,18/05/23,ING,7828.0,OK
165,Estudante 165,53,563.0,F,10/05/23,Inglês,R$ 5276,OK
166,Estudante 166,30,486.0,F,2023-05-19,Ingles,"5794,00",OK
167,Estudante 167,58,755.0,F,18/05/23,espanhol,7354.0,OK
168,Estudante 168,34,340.0,M,21/05/23,Espanhol,4373.0,OK
169,Estudante 169,53,565.0,F,2023-05-25,espanhol,R$ 1122,OK
170,Estudante 170,37,888.0,M,12/05/23,Inglês,"3430,00",OK
171,Estudante 171,45,634.0,M,26/05/23,Espanhol,6639.0,OK
172,Estudante 172,35,452.0,F,2023-05-17,Ingles,1237.0,OK
173,Estudante 173,28,583.0,F,11/05/23,ESP,R$ 5487,OK
174,Estudante 174,47,514.0,M,17/05/23,Inglês,"3105,00",OK
175,Estudante 175,31,424.0,M,2023-05-12,ING,2277.0,OK
176,Estudante 176,35,925.0,F,14/05/23,Inglês,4133.0,OK
177,Estudante 177,37,432.0,M,18/05/23,ESP,R$ 2925,OK
178,Estudante 178,39,407.0,F,2023-05-12,Inglês,"1435,00",OK
179,Estudante 179,38,686.0,F,25/05/23,Inglês,4606.0,OK
180,Estudante 180,32,783.0,F,22/05/23,ingles,7502.0,OK
181,Estudante 181,33,352.0,M,2023-05-19,ingles,R$ 6606,OK
182,Estudante 182,25,659.0,M,16/05/23,ESP,"3465,00",OK
183,Estudante 183,21,492.0,F,15/05/23,Ingles,2196.0,OK
184,Estudante 184,52,313.0,M,2023-05-25,ING,4432.0,OK
185,Estudante 185,33,822.0,F,12/05/23,ING,R$ 4645,OK
186,Estudante 186,38,,M,16/05/23,Ingles,"3642,00",OK
187,Estudante 187,31,727.0,M,2023-05-10,ingles,4499.0,OK
188,Estudante 188,38,664.0,F,22/05/23,espanhol,1855.0,OK
189,Estudante 189,37,481.0,M,14/05/23,Espanhol,R$ 1635,OK
190,Estudante 190,33,306.0,M,2023-05-17,Espanhol,"7773,00",OK
191,Estudante 191,30,474.0,F,18/05/23,Inglês,5168.0,OK
192,Estudante 192,21,719.0,M,13/05/23,Espanhol,1879.0,OK
193,Estudante 193,47,770.0,M,2023-05-14,ingles,R$ 6862,OK
194,Estudante 194,30,749.0,M,25/05/23,espanhol,"1185,00",OK
195,Estudante 195,54,391.0,M,13/05/23,Inglês,2183.0,OK
196,Estudante 196,19,310.0,F,2023-05-24,Ingles,7622.0,OK
197,Estudante 197,40,644.0,F,15/05/23,Espanhol,R$ 3302,OK
198,Estudante 198,52,594.0,F,14/05/23,ingles,"5525,00",OK
199,Estudante 199,37,628.0,F,2023-05-25,espanhol,6664.0,OK
200,Estudante 200,37,762.0,F,14/05/23,Ingles,7768.0,OK
201,Estudante 201,-5,636.0,M,10/05/23,Espanhol,R$ 7261,OK
202,Estudante 202,47,847.0,M,2023-05-16,Espanhol,"2767,00",OK
203,Estudante 203,45,319.0,F,22/05/23,ING,1994.0,OK
204,Estudante 204,46,701.0,F,17/05/23,Espanhol,4380.0,OK
205,Estudante 205,57,503.0,F,2023-05-27,Inglês,R$ 1203,OK
206,Estudante 206,46,459.0,M,21/05/23,ING,"3964,00",OK
207,Estudante 207,30,740.0,M,18/05/23,Inglês,7323.0,OK
208,Estudante 208,31,937.0,F,2023-05-27,Inglês,2824.0,OK
209,Estudante 209,19,517.0,F,23/05/23,ING,R$ 3614,OK
210,Estudante 210,49,939.0,M,20/05/23,Ingles,"4270,00",OK
211,Estudante 211,18,808.0,M,2023-05-25,Inglês,2104.0,OK
212,Estudante 212,26,413.0,F,13/05/23,ESP,5341.0,OK
213,Estudante 213,33,893.0,F,11/05/23,ingles,R$ 2901,OK
214,Estudante 214,24,744.0,M,2023-05-16,ESP,"6179,00",OK
215,Estudante 215,21,832.0,M,26/05/23,espanhol,1803.0,OK
216,Estudante 216,40,,F,13/05/23,Inglês,3499.0,OK
217,Estudante 217,34,455.0,F,2023-05-25,ESP,R$ 5568,OK
218,Estudante 218,40,705.0,M,15/05/23,espanhol,"6675,00",OK
219,Estudante 219,45,640.0,M,10/05/23,ESP,5278.0,OK
220,Estudante 220,34,601.0,F,2023-05-24,Inglês,4770.0,OK
221,Estudante 221,45,562.0,M,23/05/23,ingles,R$ 5652,OK
222,Estudante 222,20,746.0,F,19/05/23,Ingles,"4944,00",OK
223,Estudante 223,20,590.0,M,2023-05-22,Inglês,5830.0,OK
224,Estudante 224,26,912.0,F,11/05/23,ingles,2179.0,OK
225,Estudante 225,18,721.0,M,23/05/23,espanhol,R$ 4359,OK
226,Estudante 226,45,425.0,M,2023-05-11,Ingles,"4923,00",OK
227,Estudante 227,34,783.0,F,26/05/23,ESP,5366.0,OK
228,Estudante 228,24,570.0,F,22/05/23,ingles,7141.0,OK
229,Estudante 229,44,394.0,F,2023-05-27,ingles,R$ 5115,OK
230,Estudante 230,36,648.0,F,24/05/23,ingles,"5029,00",OK
231,Estudante 231,59,835.0,M,27/05/23,Inglês,3562.0,OK
232,Estudante 232,22,834.0,M,2023-05-18,Espanhol,1073.0,OK
233,Estudante 233,26,863.0,M,21/05/23,Ingles,R$ 7627,OK
234,Estudante 234,45,828.0,M,18/05/23,Inglês,"1449,00",OK
235,Estudante 235,36,631.0,M,2023-05-15,espanhol,6637.0,OK
236,Estudante 236,54,319.0,F,20/05/23,Espanhol,7160.0,OK
237,Estudante 237,55,841.0,F,20/05/23,Espanhol,R$ 6553,OK
238,Estudante 238,59,922.0,M,2023-05-12,Ingles,"6799,00",OK
239,Estudante 239,51,717.0,F,10/05/23,Inglês,2714.0,OK
240,Estudante 240,17,561.0,M,22/05/23,ING,1113.0,OK
241,Estudante 241,250,483.0,M,2023-05-25,ingles,R$ 3034,OK
242,Estudante 242,55,830.0,M,19/05/23,espanhol,"3716,00",OK
243,Estudante 243,40,659.0,M,16/05/23,Espanhol,2172.0,OK
244,Estudante 244,54,796.0,F,2023-05-17,Ingles,2534.0,OK
245,Estudante 245,19,384.0,F,16/05/23,ING,R$ 6781,OK
246,Estudante 246,38,,M,18/05/23,ESP,"5721,00",OK
247,Estudante 247,40,634.0,F,2023-05-11,Ingles,2112.0,OK
248,Estudante 248,48,784.0,F,16/05/23,ING,2361.0,OK
249,Estudante 249,58,883.0,M,11/05/23,ESP,R$ 3184,OK
250,Estudante 250,30,328.0,M,2023-05-15,Ingles,"4789,00",OK
251,Estudante 251,55,721.0,F,14/05/23,Espanhol,2077.0,OK
252,Estudante 252,18,812.0,F,13/05/23,ING,5005.0,OK
253,Estudante 253,25,597.0,F,2023-05-11,Ingles,R$ 4713,OK
254,Estudante 254,43,326.0,M,21/05/23,Espanhol,"2116,00",OK
255,Estudante 255,53,645.0,M,21/05/23,Inglês,3031.0,OK
256,Estudante 256,24,681.0,M,2023-05-26,ESP,6932.0,OK
257,Estudante 257,25,368.0,F,23/05/23,ingles,R$ 4438,OK
258,Estudante 258,30,438.0,M,17/05/23,Inglês,"5268,00",OK
259,Estudante 259,26,846.0,F,2023-05-13,Inglês,3182.0,OK
260,Estudante 260,25,510.0,F,10/05/23,Ingles,2696.0,OK
261,Estudante 261,57,585.0,M,22/05/23,Espanhol,R$ 5102,OK
262,Estudante 262,15,942.0,M,2023-05-11,espanhol,"4948,00",OK
263,Estudante 263,44,594.0,F,19/05/23,ING,5991.0,OK
264,Estudante 264,46,524.0,M,10/05/23,ING,4462.0,OK
265,Estudante 265,56,302.0,F,2023-05-10,ingles,R$ 3122,OK
266,Estudante 266,21,853.0,F,10/05/23,ESP,"3049,00",OK
267,Estudante 267,20,494.0,M,16/05/23,ingles,3352.0,OK
268,Estudante 268,26,761.0,F,2023-05-24,ESP,4392.0,OK
269,Estudante 269,15,456.0,M,23/05/23,ING,R$ 4929,OK
270,Estudante 270,47,334.0,M,13/05/23,Inglês,"3701,00",OK
271,Estudante 271,34,312.0,M,2023-05-21,ING,2463.0,OK
272,Estudante 272,25,749.0,F,21/05/23,Inglês,4427.0,OK
273,Estudante 273,33,935.0,F,16/05/23,Espanhol,R$ 1603,OK
274,Estudante 274,23,889.0,F,2023-05-26,ING,"7576,00",OK
275,Estudante 275,43,809.0,F,10/05/23,ingles,1141.0,OK
276,Estudante 276,41,,M,26/05/23,Ingles,6321.0,OK
277,Estudante 277,45,595.0,M,2023-05-17,Inglês,R$ 4826,OK
278,Estudante 278,53,861.0,M,13/05/23,Inglês,"2449,00",OK
279,Estudante 279,27,883.0,F,27/05/23,ING,1377.0,OK
280,Estudante 280,22,711.0,M,2023-05-13,Espanhol,4007.0,OK
281,Estudante 281,-5,664.0,M,13/05/23,Inglês,R$ 6976,OK
282,Estudante 282,44,630.0,F,20/05/23,Ingles,"2648,00",OK
283,Estudante 283,49,559.0,F,2023-05-24,espanhol,4377.0,OK
284,Estudante 284,35,539.0,M,17/05/23,ingles,5120.0,OK
285,Estudante 285,35,469.0,M,12/05/23,Ingles,R$ 4036,OK
286,Estudante 286,29,444.0,M,2023-05-23,Ingles,"6712,00",OK
287,Estudante 287,20,305.0,M,26/05/23,Espanhol,6129.0,OK
288,Estudante 288,26,944.0,M,25/05/23,ING,1094.0,OK
289,Estudante 289,23,500.0,F,2023-05-13,ING,R$ 5524,OK
290,Estudante 290,37,938.0,F,17/05/23,Espanhol,"1562,00",OK
291,Estudante 291,28,916.0,F,11/05/23,Inglês,7831.0,OK
292,Estudante 292,34,869.0,F,2023-05-11,Ingles,1619.0,OK
293,Estudante 293,49,857.0,M,17/05/23,ingles,R$ 4944,OK
294,Estudante 294,33,890.0,M,26/05/23,ING,"6071,00",OK
295,Estudante 295,34,769.0,M,2023-05-12,ING,4787.0,OK
296,Estudante 296,22,505.0,F,19/05/23,ingles,5554.0,OK
297,Estudante 297,17,840.0,M,24/05/23,Inglês,R$ 4665,OK
298,Estudante 298,28,723.0,M,2023-05-25,Ingles,"1368,00",OK
299,Estudante 299,22,388.0,F,11/05/23,ESP,4724.0,OK
300,Estudante 300,32,737.0,F,26/05/23,Inglês,6486.0,OK
301,Estudante 301,42,630.0,F,2023-05-24,Inglês,R$ 2550,OK
302,Estudante 302,27,441.0,M,13/05/23,ING,"7908,00",OK
303,Estudante 303,21,655.0,M,14/05/23,ingles,3920.0,OK
304,Estudante 304,57,656.0,M,2023-05-10,Ingles,1575.0,OK
305,Estudante 305,54,388.0,M,10/05/23,ingles,R$ 4568,OK
306,Estudante 306,40,,F,27/05/23,ESP,"6358,00",OK
307,Estudante 307,30,543.0,M,2023-05-24,Inglês,5923.0,OK
308,Estudante 308,30,482.0,M,18/05/23,Ingles,4056.0,OK
309,Estudante 309,54,659.0,M,25/05/23,espanhol,R$ 5124,OK
310,Estudante 310,16,607.0,F,2023-05-24,ING,"4718,00",OK
311,Estudante 311,49,899.0,F,20/05/23,ING,3325.0,OK
312,Estudante 312,53,301.0,M,21/05/23,ING,4375.0,OK
313,Estudante 313,31,644.0,M,2023-05-27,ESP,R$ 7700,OK
314,Estudante 314,25,317.0,F,25/05/23,Ingles,"2050,00",OK
315,Estudante 315,33,610.0,F,19/05/23,Ingles,3447.0,OK
316,Estudante 316,50,498.0,F,2023-05-19,ING,1950.0,OK
317,Estudante 317,28,681.0,F,18/05/23,Inglês,R$ 4504,OK
318,Estudante 318,17,626.0,M,16/05/23,ESP,"1465,00",OK
319,Estudante 319,21,482.0,F,2023-05-16,ING,2848.0,OK
320,Estudante 320,28,610.0,F,18/05/23,ING,1853.0,OK
321,Estudante 321,250,558.0,M,16/05/23,ESP,R$ 4710,OK
322,Estudante 322,39,469.0,F,2023-05-11,ingles,"5172,00",OK
323,Estudante 323,20,374.0,F,11/05/23,ingles,2653.0,OK
324,Estudante 324,57,794.0,M,18/05/23,ING,6763.0,OK
325,Estudante 325,42,810.0,M,2023-05-15,ING,R$ 7845,OK
326,Estudante 326,48,696.0,M,27/05/23,ESP,"7618,00",OK
327,Estudante 327,19,378.0,F,14/05/23,Ingles,6522.0,OK
328,Estudante 328,32,821.0,F,2023-05-13,ESP,3998.0,OK
329,Estudante 329,45,772.0,M,24/05/23,Ingles,R$ 3282,OK
330,Estudante 330,33,568.0,F,20/05/23,ESP,"3128,00",OK
331,Estudante 331,37,558.0,F,2023-05-15,ING,1922.0,OK
332,Estudante 332,56,350.0,F,10/05/23,ING,7649.0,OK
333,Estudante 333,58,489.0,M,16/05/23,ingles,R$ 4892,OK
334,Estudante 334,24,538.0,F,2023-05-19,espanhol,"4721,00",OK
335,Estudante 335,44,763.0,M,27/05/23,Inglês,4865.0,OK
336,Estudante 336,47,,M,19/05/23,Inglês,5020.0,OK
337,Estudante 337,38,742.0,F,2023-05-22,ingles,R$ 1104,OK
338,Estudante 338,29,307.0,F,25/05/23,Inglês,"6905,00",OK
339,Estudante 339,39,360.0,F,14/05/23,ingles,2668.0,OK
340,Estudante 340,35,388.0,F,2023-05-19,Ingles,6498.0,OK
341,Estudante 341,35,388.0,F,12/05/23,espanhol,R$ 3998,OK
342,Estudante 342,56,767.0,M,25/05/23,Inglês,"5336,00",OK
343,Estudante 343,45,302.0,F,2023-05-12,espanhol,6703.0,OK
344,Estudante 344,39,312.0,F,18/05/23,espanhol,2342.0,OK
345,Estudante 345,56,708.0,F,16/05/23,Inglês,R$ 7523,OK
346,Estudante 346,54,770.0,M,2023-05-19,Espanhol,"1571,00",OK
347,Estudante 347,41,936.0,M,15/05/23,ING,7974.0,OK
348,Estudante 348,18,769.0,M,23/05/23,Ingles,6755.0,OK
349,Estudante 349,30,499.0,F,2023-05-12,Ingles,R$ 7722,OK
350,Estudante 350,33,878.0,F,16/05/23,ingles,"5283,00",OK
351,Estudante 351,24,870.0,M,15/05/23,ESP,3319.0,OK
352,Estudante 352,32,373.0,M,2023-05-22,ingles,4765.0,OK
353,Estudante 353,47,407.0,M,12/05/23,espanhol,R$ 2048,OK
354,Estudante 354,42,322.0,M,24/05/23,Inglês,"1861,00",OK
355,Estudante 355,49,630.0,F,2023-05-27,ESP,1009.0,OK
356,Estudante 356,31,729.0,M,18/05/23,ING,1529.0,OK
357,Estudante 357,31,681.0,M,14/05/23,espanhol,R$ 2384,OK
358,Estudante 358,17,806.0,M,2023-05-22,ING,"4288,00",OK
359,Estudante 359,41,581.0,M,21/05/23,Espanhol,7984.0,OK
360,Estudante 360,46,947.0,M,19/05/23,Inglês,5175.0,OK
361,Estudante 361,-5,488.0,F,2023-05-14,espanhol,R$ 2053,OK
362,Estudante 362,59,733.0,F,24/05/23,Ingles,"3938,00",OK
363,Estudante 363,57,749.0,M,26/05/23,Inglês,6804.0,OK
364,Estudante 364,57,629.0,M,2023-05-14,ESP,7463.0,OK
365,Estudante 365,23,495.0,M,21/05/23,espanhol,R$ 7323,OK
366,Estudante 366,25,,M,22/05/23,Inglês,"2087,00",OK
367,Estudante 367,49,650.0,F,2023-05-17,ESP,7610.0,OK
368,Estudante 368,52,627.0,F,18/05/23,ING,4739.0,OK
369,Estudante 369,54,852.0,M,19/05/23,espanhol,R$ 3750,OK
370,Estudante 370,55,899.0,M,2023-05-25,espanhol,"2381,00",OK
371,Estudante 371,36,824.0,M,21/05/23,Espanhol,6708.0,OK
372,Estudante 372,42,741.0,F,17/05/23,ING,6769.0,OK
373,Estudante 373,30,876.0,F,2023-05-13,Espanhol,R$ 7471,OK
374,Estudante 374,43,439.0,M,20/05/23,espanhol,"4448,00",OK
375,Estudante 375,46,629.0,F,18/05/23,Inglês,5951.0,OK
376,Estudante 376,29,933.0,M,2023-05-10,ingles,4027.0,OK
377,Estudante 377,57,563.0,F,20/05/23,Espanhol,R$ 4289,OK
378,Estudante 378,45,881.0,M,12/05/23,espanhol,"7864,00",OK
379,Estudante 379,32,423.0,M,2023-05-20,Inglês,2150.0,OK
